City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
289,Mnogovershinnyy,RU,2020-02-18 04:51:08,53.94,139.92,5.85,92,30,2.86
290,Spruce Grove,CA,2020-02-18 04:47:27,53.53,-113.92,-7.01,68,1,4.7
291,Atambua,ID,2020-02-18 04:51:08,-9.11,124.89,83.52,72,19,5.68
292,Mackay,AU,2020-02-18 04:51:08,-21.15,149.2,91.99,66,9,8.05
293,Maldonado,UY,2020-02-18 04:48:26,-34.67,-54.92,73.4,100,90,10.29
294,Hailar,CN,2020-02-18 04:51:09,49.2,119.7,11.68,90,0,5.46
295,Sobradinho,BR,2020-02-18 04:51:09,-12.83,-39.1,72.52,98,19,2.21
296,Belyy Yar,RU,2020-02-18 04:51:09,53.6,91.39,12.2,85,20,1.72
297,Kahului,US,2020-02-18 04:51:09,20.89,-156.47,75.2,64,20,18.34
298,Lucapa,AO,2020-02-18 04:51:09,-8.42,20.74,67.98,94,94,2.89
299,Kingsport,US,2020-02-18 04:47:32,36.55,-82.56,53.6,53,1,6.93
300,Apodi,BR,2020-02-18 04:51:10,-5.66,-37.8,76.5,87,98,8.28
301,Waingapu,ID,2020-02-18 04:51:10,-9.66,120.26,85.71,70,76,10.04
